repo,pr_id,title,merged,context_type,prompt_type,prompt,response,pred_merge,elapsed_s,response_length,created_at
microsoft/vscode,324160,fix: prevent unbounded PersistentProtocol replay buffer,False,2,cot,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Think step by step and analyze the PR context before giving your answer.

Context:
Diff summary:
Modified files (3):
- src/vs/base/parts/ipc/common/ipc.net.ts
- src/vs/base/parts/ipc/test/node/ipc.net.test.ts
- src/vs/platform/remote/common/remoteAgentConnection.ts
Additions: 164, Deletions: 2

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.

PR Description:
Fixes a memory leak in `PersistentProtocol`.

### Details

`PersistentProtocol` keeps every regular message in `_outgoingUnackMsg` until the peer acknowledges it. That queue is also the replay buffer used when a connection reconnects.

When a connection is dead, congested, or stuck reconnecting, acknowledgements can stop advancing while callers continue to send messages. In that state, `_outgoingUnackMsg` keeps retaining every unacknowledged payload, including large `VSBuffer` instances, until the protocol is disposed.

### Change

The change bounds the replay buffer by both message count and retained payload bytes. It also tracks the retained bytes so timeout diagnostics can show how much payload memory is currently held by unacknowledged messages.

When either replay-buffer limit is exceeded, `PersistentProtocol` emits a dedicated `unacknowledgedMessageReplayBufferOverflow` timeout reason, clears the replay buffer, and advances the local acknowledgement state so the dropped entries are not kept alive.

For remote connections, replay-buffer overflow is treated as unrecoverable instead of reconnecting into a stream that is missing replay messages.

### Before

A dead or congested peer could stop sending acknowledgements while new messages were still appended to `_outgoingUnackMsg`. The replay buffer could then grow without a memory bound and retain all queued message payloads.

### After

The replay buffer is capped by configurable/default count and byte limits. When the cap is exceeded, the buffer is released, the timeout log includes the retained byte count, and node IPC regression tests cover both byte-limit and count-limit overflow paths.
","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': '1f25397b-545f-4609-85a4-6f3d8589e07c'}}",,0.0,536,2026-07-13T12:15:34.225337+00:00
microsoft/vscode,324157,Fix tool selection in Local harness,True,2,cot,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Think step by step and analyze the PR context before giving your answer.

Context:
Diff summary:
Modified files (2):
- src/vs/workbench/contrib/chat/browser/widget/input/chatSelectedTools.ts
- src/vs/workbench/contrib/chat/test/browser/widget/input/chatSelectedTools.test.ts
Additions: 58, Deletions: 0

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.

PR Description:
Fixes #324006
Fixes #323834
Fixes #323758
","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': 'c5317db3-ef43-4f6e-8ee7-7c171812cf29'}}",,0.0,536,2026-07-13T12:15:34.725901+00:00
microsoft/vscode,324143,"Fixed ""Overview"" highlight and tab navigation in ""Agent Customizations for Local"".",False,2,cot,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Think step by step and analyze the PR context before giving your answer.

Context:
Diff summary:
Modified files (2):
- src/vs/workbench/contrib/chat/browser/aiCustomization/aiCustomizationManagementEditor.ts
- src/vs/workbench/contrib/chat/browser/aiCustomization/media/aiCustomizationManagement.css
Additions: 38, Deletions: 178

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.

PR Description:
Fixes #324142","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': '2dd55142-3963-44e3-b0e7-775d059e7a56'}}",,0.0,536,2026-07-13T12:15:34.803128+00:00
microsoft/vscode,324135,Update distro commit (main),False,2,cot,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Think step by step and analyze the PR context before giving your answer.

Context:
Diff summary:
Modified files (1):
- package.json
Additions: 1, Deletions: 1

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.

PR Description:
Automated PR to update the `distro` commit in `package.json` to the HEAD of the `main` branch in [vscode-distro](https://github.com/microsoft/vscode-distro).

_Created automatically by the distro mismatch check._","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': '836cf604-9138-4c7e-9fc3-04fad340d1ca'}}",,0.0,536,2026-07-13T12:15:35.017350+00:00
microsoft/vscode,324132,sessions: fix endless spinner in Changes view for non-git folders,False,2,cot,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Think step by step and analyze the PR context before giving your answer.

Context:
Diff summary:
Modified files (1):
- src/vs/sessions/contrib/providers/copilotChatSessions/browser/copilotChatSessionsChangesets.ts
Additions: 1, Deletions: 1

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.

PR Description:
This PR fixes GitHub issue #324066: endless loading spinner in the Changes view when opening non-git directories.

### Root Cause Analysis
For non-git workspaces or non-git folders, `activeSessionHasGitRepositoryObs` in `ChangesViewService` evaluates to `false`. When there's no Git repository, the changeset's `isLoadingChanges` can remain stuck in a loading state if it tries to resolve refs via Git. Specifically, in `UncommittedChangesChangeset` and other git-backed changesets, `isLoadingChanges` evaluates to `true` whenever the changeset resolver returns `undefined`.

In `GitRepositoryChangesetResolver.resolve(...)`, if `repositoryUri` is not present, it returns `undefined`. Because it returns `undefined`, `changesPromiseObs.read(reader).read(reader)` remains `undefined`, which keeps the changeset's `isLoadingChanges` stuck as `true` indefinitely. This propagates up to the UI, leading to an endless spinner.

### Fix
Modify `GitRepositoryChangesetResolver.resolve(...)` to return an empty array `[]` instead of `undefined` when the repository is not available. This signals to the changeset state observable that the resolution has completed (yielding no changes) rather than indicating that it is still loading.","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': 'ba6a8a59-70e7-40dc-bc7f-62289fcee208'}}",,0.0,536,2026-07-13T12:15:35.238592+00:00
microsoft/vscode,324128,build(deps-dev): bump tmp from 0.2.6 to 0.2.7 in /test/integration/browser,False,2,cot,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Think step by step and analyze the PR context before giving your answer.

Context:
Diff summary:
Modified files (2):
- test/integration/browser/package-lock.json
- test/integration/browser/package.json
Additions: 5, Deletions: 5

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.

PR Description:
Bumps [tmp](https://github.com/raszi/node-tmp) from 0.2.6 to 0.2.7.
<details>
<summary>Commits</summary>
<ul>
<li><a href=""https://github.com/raszi/node-tmp/commit/8ea1f37d75c67569e0f151448330d52f7babf211""><code>8ea1f37</code></a> Bump up the version</li>
<li><a href=""https://github.com/raszi/node-tmp/commit/8f24f788a356b5d45c9bec894632bd4931338153""><code>8f24f78</code></a> Merge commit from fork</li>
<li><a href=""https://github.com/raszi/node-tmp/commit/ce787f37aaacccad921ae90990c9da33481fe59c""><code>ce787f3</code></a> Reject non-string prefix, postfix, template</li>
<li>See full diff in <a href=""https://github.com/raszi/node-tmp/compare/v0.2.6...v0.2.7"">compare view</a></li>
</ul>
</details>
<br />


[![Dependabot compatibility score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=tmp&package-manager=npm_and_yarn&previous-version=0.2.6&new-version=0.2.7)](https://docs.github.com/en/github/managing-security-vulnerabilities/about-dependabot-security-updates#about-compatibility-scores)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot show <dependency name> ignore conditions` will show all of the ignore conditions of the specified dependency
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)
You can disable automated security fix PRs for this repo from the [Security Alerts page](https://github.com/microsoft/vscode/network/alerts).

</details>","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': 'aab9b49e-67b2-4a4e-ab21-2a076917b526'}}",,0.0,536,2026-07-13T12:15:35.672476+00:00
microsoft/vscode,324127,Group agent-host models by provider in the picker,False,2,cot,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Think step by step and analyze the PR context before giving your answer.

Context:
Diff summary:
Modified files (8):
- src/vs/sessions/contrib/providers/agentHost/browser/baseAgentHostSessionsProvider.ts
- src/vs/workbench/api/browser/mainThreadLanguageModels.ts
- src/vs/workbench/api/test/browser/mainThreadLanguageModels.test.ts
- src/vs/workbench/contrib/chat/browser/agentSessions/agentHost/agentHostLanguageModelProvider.ts
- src/vs/workbench/contrib/chat/browser/widget/input/chatModelPicker.ts
- src/vs/workbench/contrib/chat/common/languageModels.ts
- src/vs/workbench/contrib/chat/test/browser/agentSessions/agentHostLanguageModelProvider.test.ts
- src/vs/workbench/contrib/chat/test/browser/widget/input/chatModelPicker.test.ts
Additions: 252, Deletions: 4

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.

PR Description:
Agent-host models all share one vendor, so the Agents window picker showed them in a single flat bucket — BYOK models from OpenAI, Google, custom endpoints, etc. were indistinguishable.","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': '54409d67-c95a-4572-ae29-4695e5059a63'}}",,0.0,536,2026-07-13T12:15:35.751163+00:00
microsoft/vscode,324124,Read remote user mcp.json into configuration model,False,2,cot,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Think step by step and analyze the PR context before giving your answer.

Context:
Diff summary:
Modified files (2):
- src/vs/workbench/services/configuration/browser/configuration.ts
- src/vs/workbench/services/configuration/test/browser/configurationService.test.ts
Additions: 79, Deletions: 13

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.

PR Description:
Fixes #256546

### Problem

`RemoteUserConfiguration` constructed `FileServiceBasedRemoteUserConfiguration` with only `settingsPath`, so the user-level `mcp.json` on a remote host (`environment.mcpResource`) was never read into the configuration model and never watched for changes. As a result, `inspect('mcp').userRemoteValue` was always `undefined` in remote windows (SSH / WSL / dev containers), and starting an MCP server that references `${input:...}` variables failed with:

```
Error starting <mcp server>: CodeExpectedError: Variable '<input>' must be defined in an 'inputs' section of the debug or task configuration.
```

This also explains the known workaround: `.vscode/mcp.json` works because the workspace folder layer already handles standalone configuration resources.

### Fix

Wires `environment.mcpResource` through to `FileServiceBasedRemoteUserConfiguration` as a standalone configuration resource, mirroring the existing handling in `UserConfiguration` (local user `mcp.json`/`tasks.json`) and `FolderConfiguration` (`.vscode/*.json`):

- reads remote `mcp.json` in parallel with `settings.json` on reload, parses it with `StandaloneConfigurationModelParser`, and merges it into the model (`consolidate`)
- tolerates a missing file (`FILE_NOT_FOUND` / `FILE_NOT_DIRECTORY`), since `mcp.json` is optional
- watches the resource and its parent directory, so an `mcp.json` created or edited after the window connects is picked up without a reload

### Verification

- New unit test in the `WorkspaceConfigurationService - Remote Folder` suite asserting that remote `mcp.json` contents (inputs + servers) surface through `inspect('mcp').userRemoteValue`
- Verified live against a from-source build with the `vscode-test-resolver` remote authority: created `mcp.json` in the remote server's `data/User` folder while the window was open — the MCP server appeared without a reload, the `promptString` input was prompted for, and the server started with the resolved value
- Reproduced the original error on a current Remote-WSL install (pre-fix server build) to confirm the root cause","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': 'c45d5789-e999-448c-8669-40669e5d6bd9'}}",,0.0,536,2026-07-13T12:15:35.971079+00:00
microsoft/vscode,324118,Fix browser behaviors in agents window,True,2,cot,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Think step by step and analyze the PR context before giving your answer.

Context:
Diff summary:
Modified files (7):
- src/vs/sessions/LAYOUT.md
- src/vs/sessions/LAYOUT_CONTROLLER.md
- src/vs/sessions/contrib/browserView/browser/sessionBrowserView.ts
- src/vs/sessions/contrib/layout/browser/baseSessionLayoutController.md
- src/vs/sessions/contrib/layout/browser/baseSessionLayoutController.ts
- src/vs/sessions/contrib/layout/test/browser/baseSessionLayoutController.test.ts
- src/vs/sessions/contrib/layout/test/browser/layoutControllerTestUtils.ts
Additions: 120, Deletions: 48

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.

PR Description:
<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': '5d628d70-bf93-4336-8d2a-b7ab9520a0d8'}}",,0.0,536,2026-07-13T12:15:36.185876+00:00
microsoft/vscode,324117,Enable provider-level ZDR for OpenAI BYOK and surface Responses API stream errors as terminal failures,True,2,cot,"You are a senior GitHub code reviewer.
Based on the provided pull request context, answer the following:
1. Merge Prediction: should this PR be merged? Answer Yes or No.
2. Review Comment: provide a concise, practical code review comment that explains strengths, issues, and improvement suggestions.
Include your reasoning in the response.
Think step by step and analyze the PR context before giving your answer.

Context:
Diff summary:
Modified files (5):
- extensions/copilot/package.json
- extensions/copilot/src/extension/byok/vscode-node/openAIProvider.ts
- extensions/copilot/src/extension/byok/vscode-node/test/openAIProvider.spec.ts
- extensions/copilot/src/platform/endpoint/node/responsesApi.ts
- extensions/copilot/src/platform/endpoint/node/test/responsesApi.spec.ts
Additions: 118, Deletions: 3

Note: the dataset does not contain actual unified diff patches, so this summary uses file-level change metadata.

PR Description:
This PR improves two OpenAI BYOK behaviors:

- Adds `zeroDataRetentionEnabled` at the OpenAI provider group level in `chatLanguageModels.json`.
    - Wires provider config into openAIProvider so group-level ZDR applies consistently (while preserving model-level fallback behavior).
- Ensures raw Responses API error stream events resolve as a terminal server error instead of falling through to generic “no choices” failures.
- Adds/updates unit tests for both the provider-level ZDR merge behavior and Responses API terminal error mapping.
","LLM_ERROR: Error code: 402 - {'error': {'message': 'The free trial quota for the service has been exhausted and postpaid billing is not enabled, so the service cannot be accessed. Please go to Console > Online Inference Service to enable postpaid billing. See: https://console.cloud.tencent.com/tokenhub/inference', 'message_zh': '服务免费体验额度已耗尽，且未开启后付费，无法正常访问。请前往控制台 > 在线推理服务开启后付费，查看链接：https://console.cloud.tencent.com/tokenhub/inference', 'code': '401008', 'type': 'gateway_error', 'request_id': 'cfe2b8d4-65f5-4096-8166-c9f12f17f61e'}}",,0.0,536,2026-07-13T12:15:36.625072+00:00
